cpu_a,cpu_b,ns_min,ns_median,ns_max
0,1,18.2,19.1,27.3
0,2,19.7,20.8,21.8
0,3,20.1,20.9,22.3
0,4,80.4,83.0,96.8
0,5,166.1,167.6,168.0
0,6,142.2,167.6,168.3
0,7,166.9,167.1,167.5
0,8,125.9,169.0,169.4
0,9,108.0,168.0,168.2
0,10,140.7,169.8,170.0
0,11,127.5,168.8,169.4
1,2,19.5,19.8,25.7
1,3,23.2,23.6,27.6
1,4,78.2,88.8,149.1
1,5,71.1,167.0,167.2
1,6,68.0,166.9,167.1
1,7,67.2,166.3,166.9
1,8,117.2,168.1,168.6
1,9,143.2,167.1,167.5
1,10,163.0,169.1,169.9
1,11,118.0,167.9,168.3
2,3,21.2,21.4,26.4
2,4,119.0,154.9,175.9
2,5,167.9,168.2,168.6
2,6,72.4,161.4,167.9
2,7,166.9,167.6,168.0
2,8,116.9,168.9,169.3
2,9,146.7,167.8,167.9
2,10,74.9,170.0,170.7
2,11,112.7,169.1,169.7
3,4,76.2,76.4,80.9
3,5,168.2,168.2,168.5
3,6,103.1,168.4,168.6
3,7,167.8,168.1,168.9
3,8,103.6,169.5,170.5
3,9,74.0,167.8,169.2
3,10,91.0,170.8,171.0
3,11,169.6,169.9,170.6
4,5,29.1,30.9,31.3
4,6,29.8,30.8,30.9
4,7,30.4,31.1,31.2
4,8,31.7,31.7,35.7
4,9,31.5,31.8,32.1
4,10,30.2,30.5,36.4
4,11,32.5,32.6,32.7
5,6,29.6,29.6,29.8
5,7,28.6,28.8,29.0
5,8,30.7,30.9,31.1
5,9,29.2,29.6,29.7
5,10,31.2,31.7,31.9
5,11,30.1,30.8,33.1
6,7,28.7,28.8,28.9
6,8,29.8,29.8,30.7
6,9,29.7,29.8,29.8
6,10,30.7,30.9,31.1
6,11,30.2,30.6,34.0
7,8,29.9,30.0,30.2
7,9,28.7,28.8,28.9
7,10,30.8,30.8,32.2
7,11,29.1,29.5,29.8
8,9,29.9,31.3,32.6
8,10,30.9,33.7,37.0
8,11,29.2,32.0,35.6
9,10,30.7,31.2,32.0
9,11,29.6,29.8,30.2
10,11,30.3,30.5,35.4
0,12,17.9,18.3,19.8
4,16,28.4,28.6,29.2
8,20,27.7,27.8,28.3
