mode,bytes,ns,cycles,ghz
random,8192,0.779,3.98,5.109
seq,8192,0.778,3.96,5.086
huge,8192,0.779,3.96,5.077
random,12288,0.778,3.98,5.111
seq,12288,0.778,3.96,5.086
huge,12288,0.780,3.96,5.074
random,18432,0.779,3.89,4.997
seq,18432,0.781,3.93,5.033
huge,18432,0.779,3.96,5.075
random,27648,0.779,3.98,5.115
seq,27648,0.779,3.98,5.108
huge,27648,0.781,3.96,5.067
random,41472,0.787,4.02,5.108
seq,41472,0.780,3.97,5.094
huge,41472,0.790,4.01,5.075
random,62208,2.723,13.69,5.028
seq,62208,0.837,4.26,5.093
huge,62208,2.726,13.89,5.096
random,93312,2.728,13.86,5.082
seq,93312,0.817,4.12,5.048
huge,93312,2.728,13.89,5.092
random,139968,2.728,13.86,5.079
seq,139968,0.805,4.09,5.084
huge,139968,2.728,13.88,5.087
random,209920,2.729,13.87,5.081
seq,209920,0.795,4.05,5.095
huge,209920,2.725,13.95,5.119
random,314880,2.738,13.91,5.081
seq,314880,0.791,4.00,5.058
huge,314880,2.729,13.84,5.071
random,472384,2.964,15.10,5.094
seq,472384,0.787,4.01,5.103
huge,472384,2.969,15.04,5.067
random,708544,3.599,18.29,5.082
seq,708544,0.818,4.19,5.122
huge,708544,3.620,18.42,5.089
random,1062848,5.223,26.39,5.052
seq,1062848,0.896,4.53,5.053
huge,1062848,5.321,27.08,5.090
random,1594304,7.698,38.75,5.034
seq,1594304,0.914,4.62,5.052
huge,1594304,7.684,38.77,5.046
random,2391424,8.666,43.96,5.073
seq,2391424,0.890,4.53,5.088
huge,2391424,7.438,37.80,5.081
random,3587200,9.782,49.82,5.093
seq,3587200,0.871,4.38,5.024
huge,3587200,9.067,45.33,4.999
random,5380800,10.397,52.74,5.072
seq,5380800,0.863,4.39,5.090
huge,5380800,9.644,48.47,5.026
random,8071232,11.910,60.06,5.043
seq,8071232,0.860,4.37,5.077
huge,8071232,10.087,51.26,5.081
random,12106880,31.898,161.52,5.064
seq,12106880,0.940,4.77,5.077
huge,12106880,13.456,67.93,5.048
random,18160320,65.549,333.65,5.090
seq,18160320,1.068,5.39,5.047
huge,18160320,63.755,307.82,4.828
random,27240448,89.592,453.87,5.066
seq,27240448,1.161,5.88,5.070
huge,27240448,72.317,366.14,5.063
random,40860736,84.566,426.21,5.040
seq,40860736,1.334,6.73,5.045
huge,40860736,79.729,402.10,5.043
random,61291072,96.482,487.07,5.048
seq,61291072,1.535,7.82,5.095
huge,61291072,85.734,436.34,5.089
random,91936640,102.829,521.12,5.068
seq,91936640,1.599,8.08,5.053
huge,91936640,90.054,446.47,4.958
random,137904960,103.884,522.98,5.034
seq,137904960,1.778,8.95,5.031
huge,137904960,93.778,476.20,5.078
random,206857472,107.838,541.98,5.026
seq,206857472,1.758,8.87,5.045
huge,206857472,96.252,489.14,5.082
