part,stride,ns_per_access,useful_GBps,fetched_GBps
stride,8,0.206,38.76,38.76
stride,16,0.406,19.69,39.38
stride,32,0.792,10.10,40.41
stride,64,1.645,4.86,38.90
stride,128,1.630,4.91,39.26
stride,256,1.728,4.63,37.03
stride,512,3.225,2.48,19.84
stride,1024,3.449,2.32,18.56
stride,2048,4.706,1.70,13.60
stride,4096,9.146,0.87,7.00
stride,8192,10.331,0.77,6.19
part,bytes,read_GBps,write_GBps,
bw,16384,223.17,324.26,
bw,32768,189.12,323.07,
bw,65536,174.43,240.06,
bw,131072,167.93,308.32,
bw,262144,165.19,284.82,
bw,524288,163.50,317.05,
bw,1048576,159.50,182.05,
bw,2097152,159.43,155.00,
bw,4194304,158.21,152.66,
bw,8388608,156.97,151.00,
bw,16777216,123.35,80.41,
bw,33554432,57.62,25.18,
bw,67108864,44.83,19.60,
bw,134217728,40.65,17.98,
bw,268435456,39.15,17.37,
