pages,span_kb,data_kb,ns_4k,ns_2m,ratio
16,64,1,0.778,0.778,1.00
24,96,1,0.778,0.779,1.00
32,128,2,0.777,0.778,1.00
48,192,3,0.778,0.778,1.00
64,256,4,0.778,0.779,1.00
80,320,5,0.779,0.779,1.00
96,384,6,0.778,0.779,1.00
112,448,7,2.141,2.142,1.00
128,512,8,2.141,2.140,1.00
160,640,10,2.140,2.139,1.00
192,768,12,2.140,2.140,1.00
256,1024,16,2.139,2.140,1.00
384,1536,24,2.140,2.142,1.00
512,2048,32,2.140,0.779,2.75
768,3072,48,2.144,1.236,1.74
1024,4096,64,4.088,2.726,1.50
1536,6144,96,4.841,2.725,1.78
2048,8192,128,4.544,2.726,1.67
3072,12288,192,5.262,2.725,1.93
4096,16384,256,6.564,2.761,2.38
6144,24576,384,7.745,2.797,2.77
8192,32768,512,8.814,2.849,3.09
12288,49152,768,12.096,5.809,2.08
16384,65536,1024,16.706,8.327,2.01
24576,98304,1536,18.264,9.851,1.85
32768,131072,2048,18.823,9.886,1.90
49152,196608,3072,20.641,11.376,1.81
65536,262144,4096,21.697,12.573,1.73
